sample_id	hic	hifi	ill	ont	options
HG00097	['s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC1_S6_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC1_S6_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC4_S6_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC4_S6_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC2_S6_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC2_S6_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC3_S6_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC3_S6_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC1_S5_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC1_S5_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC4_S5_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC4_S5_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC2_S5_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC2_S5_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC3_S5_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC3_S5_L001_R2_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam','s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam','s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam']	['s3://human-pangenomics/working/HPRC/HG00097/raw_data/Illumina/child/HG00097.final.cram']	['s3://human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/sup5.0.0/10_31_23_R1041_HPRC_HG00097_3_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/sup5.0.0/10_31_23_R1041_HPRC_HG00097_2_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/sup5.0.0/10_31_23_R1041_HPRC_HG00097_1_dorado0.9.5_sup5.0.0.bam']	[--unitig-abundance 8]
HG00099	['s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L002_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-2_S28_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L002_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/hic/HG00099-1_S20_L003_R2_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220825_174247.dc.q20.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220827_143814.dc.q20.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220829_095708.dc.q20.fastq.gz','s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2012.bam']	['s3://human-pangenomics/working/HPRC/HG00099/raw_data/Illumina/child/HG00099.final.cram']	['s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG00099_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam','s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG00099_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam','s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/guppy_6/09_14_22_R941_HG00099_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam','s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/guppy_6/09_14_22_R941_HG00099_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam','s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/guppy_6/09_14_22_R941_HG00099_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam']	[--unitig-abundance 8]
HG00106	['s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC1_S29_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC1_S30_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC2_S30_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC2_S29_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC1_S29_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-1_FC2_S29_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC2_S30_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00106/raw_data/hic/HG00106-2_FC1_S30_L003_R1_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231112_034048_s4.hifi_reads.bc2070.bam','s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231027_202621_s3.hifi_reads.bc2070.bam','s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231029_023649_s3.hifi_reads.bc2070.bam']	['s3://human-pangenomics/working/HPRC/HG00106/raw_data/Illumina/child/HG00106.final.fq.gz']	['s3://human-pangenomics/working/HPRC/HG00106/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00106_3_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00106/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00106_2_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00106/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00106_1_dorado0.9.5_sup5.0.0.bam']	[--unitig-abundance 8]
HG00116	['s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC1_S1_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC1_S2_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC2_S1_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC1_S1_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC2_S2_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-1_FC2_S1_L001_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC1_S2_L001_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00116/raw_data/hic/HG00116-2_FC2_S2_L001_R1_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240617_225739_s3.hifi_reads.bc2001.bam','s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240608_005036_s1.hifi_reads.bc2001.bam','s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240606_010120_s2.hifi_reads.bc2001.bam','s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240614_204841_s3.hifi_reads.bc2001.bam','s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240610_201454_s3.hifi_reads.bc2001.bam']	['s3://human-pangenomics/working/HPRC/HG00116/raw_data/Illumina/child/HG00116.final.fq.gz']	['s3://human-pangenomics/working/HPRC/HG00116/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00116_1_dorado0.9.1_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00116/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00116_2_dorado0.9.1_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00116/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG00116_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam']	[--unitig-abundance 8]
HG00117	['s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC1_S17_L002_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC1_S17_L002_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC2_S17_L002_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-1_FC2_S17_L002_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-2_FC1_S18_L002_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-2_FC1_S18_L002_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-2_FC2_S18_L002_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00117/raw_data/hic/HG00117-2_FC2_S18_L002_R2_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231110_195735_s1.hifi_reads.bc2071.bam','s3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_HiFi/m84081_231112_020730_s1.hifi_reads.bc2071.bam']	['s3://human-pangenomics/working/HPRC/HG00117/raw_data/Illumina/child/HG00117.final.fq.gz']	['s3://human-pangenomics/working/HPRC/HG00117/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00117_2_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00117/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00117_3_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00117/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00117_1_dorado0.9.5_sup5.0.0.bam']	[--unitig-abundance 8]
HG00119	['s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-1_FC1_S33_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-1_FC1_S33_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-1_FC2_S33_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-1_FC2_S33_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-2_FC1_S34_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-2_FC1_S34_L003_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-2_FC2_S34_L003_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00119/raw_data/hic/HG00119-2_FC2_S34_L003_R2_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00119/raw_data/PacBio_HiFi/m84081_231214_200130_s1.hifi_reads.bc2005.bam','s3://human-pangenomics/working/HPRC/HG00119/raw_data/PacBio_HiFi/m84081_231214_220055_s2.hifi_reads.bc2005.bam']	['s3://human-pangenomics/working/HPRC/HG00119/raw_data/Illumina/child/HG00119.final.fq.gz']	['s3://human-pangenomics/working/HPRC/HG00119/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00119_1_dorado0.9.1_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00119/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00119_2_dorado0.9.1_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00119/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00119_3_dorado0.9.1_sup5.0.0.bam']	[--unitig-abundance 8]
HG00120	['s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-2_FC2_S48_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-2_FC1_S48_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-1_FC1_S47_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-1_FC2_S47_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-2_FC2_S48_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-2_FC1_S48_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-1_FC2_S47_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00120/raw_data/hic/HG00120-1_FC1_S47_L004_R1_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00120/raw_data/PacBio_HiFi/m84081_240512_105012_s1.hifi_reads.bc2006.bam','s3://human-pangenomics/working/HPRC/HG00120/raw_data/PacBio_HiFi/m84081_240511_005817_s1.hifi_reads.bc2006.bam']	['s3://human-pangenomics/working/HPRC/HG00120/raw_data/Illumina/child/HG00120.final.fq.gz']	['s3://human-pangenomics/working/HPRC/HG00120/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_21_24_R1041_UL_HPRC_HG00120_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam','s3://human-pangenomics/working/HPRC/HG00120/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_21_24_R1041_UL_HPRC_HG00120_2_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam','s3://human-pangenomics/working/HPRC/HG00120/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_21_24_R1041_UL_HPRC_HG00120_3_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam']	[--unitig-abundance 8]
HG00126	['s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC2_S3_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC2_S3_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC1_S3_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-1_FC1_S3_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC2_S4_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC2_S4_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC1_S4_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00126/raw_data/hic/HG00126-2_FC1_S4_L004_R2_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2043.bam','s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2043.bam','s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2043.bam','s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2043.bam','s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2043.bam']	['s3://human-pangenomics/working/HPRC/HG00126/raw_data/Illumina/child/HG00126.final.cram']	['s3://human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00126_1_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00126_3_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00126/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00126_2_dorado0.9.5_sup5.0.0.bam']	[--unitig-abundance 8]
HG00128	['s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC2_S10_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC2_S10_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC1_S10_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-2_FC1_S10_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC2_S9_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC2_S9_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC1_S9_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00128/raw_data/hic/HG00128-1_FC1_S9_L004_R2_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2044.bam','s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2044.bam','s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2044.bam','s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_HiFi/m84046_230630_233157_s3.bc2069--bc2069.bam']	['s3://human-pangenomics/working/HPRC/HG00128/raw_data/Illumina/child/HG00128.final.cram']	['s3://human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/sup5.0.0/11_7_23_R1041_HPRC_HG00128_1_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/sup5.0.0/11_7_23_R1041_HPRC_HG00128_2_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00128/raw_data/nanopore/sup5.0.0/11_7_23_R1041_HPRC_HG00128_3_dorado0.9.5_sup5.0.0.bam']	[--unitig-abundance 8]
HG00133	['s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC2_S6_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC2_S6_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC1_S6_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-2_FC1_S6_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC2_S5_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC2_S5_L004_R2_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC1_S5_L004_R1_001.fastq.gz','s3://human-pangenomics/working/HPRC/HG00133/raw_data/hic/HG00133-1_FC1_S5_L004_R2_001.fastq.gz']	['s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230719_001055_s4.hifi_reads.bc2085.bam','s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230602_203207_s4.hifi_reads.bc2045.bam','s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_231827_s1.hifi_reads.bc2045.bam','s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_050400_s4.hifi_reads.bc2045.bam','s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230617_043254_s3.hifi_reads.bc2045.bam','s3://human-pangenomics/working/HPRC/HG00133/raw_data/PacBio_HiFi/m84046_230621_234848_s2.hifi_reads.bc2045.bam']	['s3://human-pangenomics/working/HPRC/HG00133/raw_data/Illumina/child/HG00133.final.cram']	['s3://human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00133_1_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00133_3_dorado0.9.5_sup5.0.0.bam','s3://human-pangenomics/working/HPRC/HG00133/raw_data/nanopore/sup5.0.0/08_29_23_R1041_HPRC_HG00133_2_dorado0.9.5_sup5.0.0.bam']	[--unitig-abundance 8]
