sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
HG00438,YR1,77.69,77.69,0.00,0,WUSTL,22616.27,trio,93.74,36.29,14333133,66.85,29.97,89007,R1041,
HG00621,YR1,58.41,47.91,10.50,10.5,WUSTL,22090.58,trio,95.86,35.11,15618712,76.88,34.65,88524,R1041,
HG00673,YR1,61.2,48.6,12.60,12.6,WUSTL,21473.38,trio,98.57,34.22,10283076,79.14,33.62,83294,R1041,
HG00735,YR1,52.77,52.77,0.00,0,WUSTL,22326.38,trio,82.7,35.09,12198590,44.84,24.15,109055,R1041,top up ONT UL being done
HG00741,YR1,62.25,47.85,14.40,14.4,WUSTL,24331.22,trio,77.64,37.4,10179524,59.16,34.24,119698,R1041,
HG01071,YR1,90.69,74.09,16.60,16.6,WUSTL,25867.53,trio,77.84,37.31,14816998,71.34,29.83,82953,R1041,
HG01106,YR1,56.29,56.29,0.00,0,WUSTL,22164.27,trio,73.46,36.86,15876215,76.88,40.22,104984,R1041,
HG01123,YR1,71.94,45.64,26.30,26.3,UW,17308.16,trio,62.31,79.6,19883662,50.97,26.28,104380,R1041,
HG01175,YR1,62.31,45.91,16.40,16.4,WUSTL,22059.62,trio,78.08,34.96,16272903,61.34,37.08,125197,R1041,
HG01258,YR1,59.04,42.84,16.20,16.2,UW,20406.09,trio,73.88,37.17,17467823,38.12,22.5,122732,R1041,top up ONT UL being done
HG01358,YR1,60.1,45.1,15.00,15,UW,19343.75,trio,63,38.25,15130112,58.07,31.6,110998,R1041,
HG01361,YR1,120.08,82.08,38.00,38,UW,19736.57,trio,54.46,38.14,16959564,47.81,27.52,118553,R1041,
HG01891,YR1,64.79,43.59,21.20,21.2,UW,17255.98,trio,48.52,36.83,18896124,51.82,25.44,97933,R1041,
HG01928,YR1,90.64,70.54,20.10,20.1,WUSTL,23480.72,trio,81.36,38.32,14422258,54.28,30.57,115260,R1041,
HG01952,YR1,58.81,49.61,9.20,9.2,WUSTL,21456.33,trio,70.28,36.69,15467960,60.89,35.06,118026,R1041,
HG01978,YR1,87.1,78.7,8.40,8.4,WUSTL,25937.07,trio,103.48,40.31,15304930,61.97,35.9,120137,R1041,
HG02148,YR1,61.9,47,14.90,14.9,WUSTL,18493.12,trio,72.7,38.37,11042292,53.77,28.83,108025,R1041,
HG02257,YR1,67.59,42.89,24.70,24.7,UW,19276.74,trio,59.22,37.58,21773351,51.57,26.04,101291,R1041,
HG02486,YR1,64.04,47.34,16.70,16.7,UW,19172.77,trio,44.85,49.91,17166088,53.46,30.62,117202,R1041,
HG02559,YR1,67.3,51.8,15.50,15.5,UW,20276.31,trio,56.21,33.8,16941262,63.36,33.43,106573,R1041,
HG02572,YR1,59.44,36.84,22.60,22.6,UW,18745.95,trio,133.3,36.6,17471848,60.48,32.82,112154,R1041,
HG02622,YR1,57.05,57.05,0.00,0,WUSTL,22881.07,trio,61.02,39.24,20284460,62.16,37.31,123845,R1041,
HG02630,YR1,58,58,0.00,0,WUSTL,19199.8,trio,64.5,39.8,16899780,51.47,30.28,120612,R1041,
HG02717,YR1,81.55,81.55,0.00,0,WUSTL,16752.13,trio,85.42,38.68,16805501,50,28.51,117820,R1041,
HG02886,YR1,54.51,54.51,0.00,0,WUSTL,17631.06,trio,67.19,40.81,17675682,61.48,38.72,133050,R1041,
HG03453,YR1,59.97,59.97,0.00,0,WUSTL,19882.79,trio,70.6,35.39,13599049,62.62,33.51,107930,R1041,
HG03471,YR1,60.77,60.77,0.00,0,WUSTL,19212.43,hic,69.08,37.86,15084518,63.65,38.56,127558,R1041,
HG03516,YR1,92.4,69.9,22.50,22.5,UW,18525.55,trio,57.51,33.41,11381927,71.9,37.24,104311,R1041,
HG03540,YR1,58.53,58.53,0.00,0,WUSTL,20527.04,trio,62.12,39.56,18061641,49.1,30.28,133092,R1041,
HG03579,YR1,84.47,84.47,0.00,0,WUSTL,19407.94,trio,83,35.09,11054062,58.54,29.35,100393,R1041,
HG00423,YR2,60.83,53.33,7.50,54.1,WUSTL,18824.44,trio,97.64,36.57,12160599,45.53,26.33,119405,R1041,
HG00544,YR2,66.65,45.45,21.20,60.9,WUSTL,20584.91,trio,132.42,35.58,16109300,46.8,24.56,105145,R1041,top up ONT UL being done
HG00609,YR2,69.06,38.26,30.80,65.2,WUSTL,19477.66,trio,63.26,37.42,22317518,54.75,29.96,111240,R1041,
