sample_id,release,filename,accession,study,bioproject_accession,biosample_accession,library_id,library_strategy,library_source,platform,instrument_model,design_description,generator_facility,generator_contact,data_type,filetype,library_layout,library_selection,shear_method,total_bp,coverage,ntsm_score,path,total_gbp,production,basecaller,basecaller_version
HG00097,2,HG00097-2_FC1_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,25506303618,8.23,0.446166,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC1_S6_L001_R1_001.fastq.gz,25.51,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-2_FC1_S6_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,25506303618,8.23,0.410732,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC1_S6_L001_R2_001.fastq.gz,25.51,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-2_FC4_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,25670168667,8.28,0.490165,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC4_S6_L001_R1_001.fastq.gz,25.67,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-2_FC4_S6_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,25670168667,8.28,0.407887,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC4_S6_L001_R2_001.fastq.gz,25.67,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-2_FC2_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26150599327,8.44,0.442444,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC2_S6_L001_R1_001.fastq.gz,26.15,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-2_FC2_S6_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26150599327,8.44,0.42469,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC2_S6_L001_R2_001.fastq.gz,26.15,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-2_FC3_S6_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26242285470,8.47,0.471388,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC3_S6_L001_R1_001.fastq.gz,26.24,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-2_FC3_S6_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-2,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,26242285470,8.47,0.451482,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-2_FC3_S6_L001_R2_001.fastq.gz,26.24,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-1_FC1_S5_L001_R1_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41215017687,13.3,0.404905,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC1_S5_L001_R1_001.fastq.gz,41.22,HIC_Y3_Y4_part2,,
HG00097,2,HG00097-1_FC1_S5_L001_R2_001.fastq.gz,,SRP305758,PRJNA701308,SAMN41021660,HG00097-1,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,Illumina Sequencing of Omni-C Libraries,University of California Santa Cruz,wseligma@ucsc.edu,unaligned reads,fastq,paired,RANDOM,no shear,41215017687,13.3,0.382096,s3://human-pangenomics/working/HPRC/HG00097/raw_data/hic/HG00097-1_FC1_S5_L001_R2_001.fastq.gz,41.22,HIC_Y3_Y4_part2,,
