sample_id,filename,filetype,biosample_accession,library_id,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,ntsm_score,n50,total_gbp,coverage,coverage_over_100kb,coverage_over_200kb,coverage_over_300kb,coverage_over_400kb,coverage_over_500kb,coverage_over_1mb,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG00097,10_31_23_R1041_HPRC_HG00097_3_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021660,10_31_23_R1041_HPRC_HG00097_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/sup5.0.0/10_31_23_R1041_HPRC_HG00097_3_dorado0.9.5_sup5.0.0.bam,0.426221,87389,60.86,18.44,8.02,2.25,0.6,0.21,0.11,0.02,63,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00097,10_31_23_R1041_HPRC_HG00097_2_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021660,10_31_23_R1041_HPRC_HG00097_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/sup5.0.0/10_31_23_R1041_HPRC_HG00097_2_dorado0.9.5_sup5.0.0.bam,0.464998,88624,60.16,18.23,8.08,2.39,0.67,0.24,0.13,0.03,75,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00097,10_31_23_R1041_HPRC_HG00097_1_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021660,10_31_23_R1041_HPRC_HG00097_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00097/raw_data/nanopore/sup5.0.0/10_31_23_R1041_HPRC_HG00097_1_dorado0.9.5_sup5.0.0.bam,0.460303,93750,70.72,21.43,10.03,2.9,0.77,0.27,0.13,0.03,73,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00099,12_09_24_R1041_UL_HPRC_HG00099_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN33758778,12_09_24_R1041_UL_HPRC_HG00099_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG00099_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.467347,101206,106.36,32.23,16.3,5.74,1.89,0.69,0.27,0.01,31,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year3_R10,R1041
HG00099,12_16_24_R1041_UL_HPRC_HG00099_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN33758778,12_16_24_R1041_UL_HPRC_HG00099_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00099/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG00099_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.502098,110043,71.73,21.74,11.89,4.26,1.35,0.48,0.18,0.01,35,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year3_R10,R1041
HG00106,09_06_23_R1041_HPRC_HG00106_3_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021696,09_06_23_R1041_HPRC_HG00106_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00106/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00106_3_dorado0.9.5_sup5.0.0.bam,0.468416,88719,66.77,20.23,8.81,2.02,0.38,0.1,0.04,0.01,24,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00106,09_06_23_R1041_HPRC_HG00106_2_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021696,09_06_23_R1041_HPRC_HG00106_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00106/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00106_2_dorado0.9.5_sup5.0.0.bam,0.454951,92294,77.66,23.53,10.74,2.56,0.51,0.14,0.07,0.02,45,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00106,09_06_23_R1041_HPRC_HG00106_1_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021696,09_06_23_R1041_HPRC_HG00106_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00106/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00106_1_dorado0.9.5_sup5.0.0.bam,0.458583,92994,65.43,19.83,9.12,2.19,0.42,0.11,0.05,0.01,34,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00116,10_07_24_R1041_UL_HPRC_HG00116_1_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG00116_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00116/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00116_1_dorado0.9.1_sup5.0.0.bam,0.488572,79051,70.81,21.46,8.67,3.01,1.1,0.44,0.19,0.01,28,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00116,10_07_24_R1041_UL_HPRC_HG00116_2_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG00116_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00116/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00116_2_dorado0.9.1_sup5.0.0.bam,0.531711,101562,47.28,14.33,7.26,2.99,1.25,0.6,0.3,0.04,103,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00116,12_09_24_R1041_UL_HPRC_HG00116_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,12_09_24_R1041_UL_HPRC_HG00116_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,1.1.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00116/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG00116_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,0.488257,108752,90.12,27.31,14.75,5.35,1.71,0.53,0.18,0.01,17,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00117,09_06_23_R1041_HPRC_HG00117_2_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021697,09_06_23_R1041_HPRC_HG00117_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00117/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00117_2_dorado0.9.5_sup5.0.0.bam,0.487056,95695,82.05,24.86,11.84,3.01,0.63,0.18,0.09,0.02,56,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00117,09_06_23_R1041_HPRC_HG00117_3_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021697,09_06_23_R1041_HPRC_HG00117_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00117/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00117_3_dorado0.9.5_sup5.0.0.bam,0.468037,94483,80.18,24.3,11.4,2.91,0.61,0.18,0.09,0.02,44,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00117,09_06_23_R1041_HPRC_HG00117_1_dorado0.9.5_sup5.0.0.bam,bam,SAMN41021697,09_06_23_R1041_HPRC_HG00117_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00117/raw_data/nanopore/sup5.0.0/09_06_23_R1041_HPRC_HG00117_1_dorado0.9.5_sup5.0.0.bam,0.478873,96508,68.62,20.79,10.01,2.68,0.58,0.16,0.08,0.01,40,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG00119,10_07_24_R1041_UL_HPRC_HG00119_1_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG00119_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00119/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00119_1_dorado0.9.1_sup5.0.0.bam,0.512261,73123,82.81,25.09,8.54,1.54,0.36,0.16,0.09,0.01,36,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00119,10_07_24_R1041_UL_HPRC_HG00119_2_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG00119_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00119/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00119_2_dorado0.9.1_sup5.0.0.bam,0.530878,75845,74.28,22.51,7.92,1.39,0.34,0.16,0.09,0.02,50,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00119,10_07_24_R1041_UL_HPRC_HG00119_3_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG00119_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00119/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG00119_3_dorado0.9.1_sup5.0.0.bam,0.516729,80202,75.37,22.84,8.61,1.51,0.31,0.12,0.06,0,13,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00120,10_21_24_R1041_UL_HPRC_HG00120_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,10_21_24_R1041_UL_HPRC_HG00120_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,1.1.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00120/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_21_24_R1041_UL_HPRC_HG00120_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,0.490245,106894,68.08,20.63,10.92,4.19,1.43,0.52,0.23,0.02,54,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG00120,10_21_24_R1041_UL_HPRC_HG00120_2_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,10_21_24_R1041_UL_HPRC_HG00120_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,1.1.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00120/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_21_24_R1041_UL_HPRC_HG00120_2_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,0.489179,107591,72.3,21.91,11.71,4.23,1.35,0.48,0.21,0.02,60,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
